sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,ma_ngoai_ngu
2012720,7.8,6.0,7.2,6.75,7.75,6.5,N1
2012721,6.6,7.75,8.6,4.75,7.75,4.5,N1
2012722,8.2,7.75,9.4,8.25,8.0,9.25,N1
2012724,8.0,6.75,6.0,6.75,6.75,7.0,N1
2012725,7.0,6.0,4.0,4.0,7.0,3.75,N1
2012726,6.8,6.75,7.8,7.0,9.0,5.75,N1
2012727,8.0,8.0,7.8,6.75,7.0,5.0,N1
2012728,8.8,8.25,7.6,8.75,8.0,7.25,N1
2012730,7.8,7.25,8.4,7.5,6.75,7.75,N1
2012734,7.0,7.5,6.0,6.5,7.0,7.25,N1
2012735,6.6,7.75,6.8,4.5,6.25,5.75,N1
2012736,7.6,7.5,6.8,5.25,7.0,7.75,N1
2012737,7.8,6.75,5.0,8.0,6.0,7.0,N1
2012740,8.4,5.75,7.0,7.25,5.75,5.5,N1
2012741,6.2,6.25,5.8,5.25,6.75,5.0,N1
2012742,7.6,6.0,7.0,7.5,7.75,6.5,N1
2012744,6.8,6.75,6.2,8.0,6.0,7.75,N1
2012746,6.8,7.75,6.2,6.0,6.0,6.5,N1
2012747,7.4,7.5,7.8,6.75,7.75,6.0,N1
2012749,7.0,7.0,4.6,5.25,6.25,6.25,N1
2012751,7.0,7.25,4.2,7.0,6.75,6.25,N1
2012752,7.4,7.5,9.0,5.75,7.25,6.75,N1
2012756,7.8,6.75,5.8,5.0,5.25,6.5,N1
2012757,8.2,8.25,9.4,6.25,7.25,7.25,N1
2012758,7.4,7.5,6.8,6.5,7.25,8.75,N1
2012759,8.2,6.75,6.4,7.0,8.5,7.25,N1
2012761,8.0,8.0,8.2,7.75,6.5,7.0,N1
2012763,7.6,7.25,7.0,8.25,8.0,8.25,N1
2012767,7.8,6.5,8.4,6.75,8.5,7.0,N1
2012768,8.2,8.25,6.2,6.0,8.5,5.75,N1
2012769,8.2,6.5,8.2,7.25,7.25,5.25,N1
2012772,7.0,6.75,4.4,6.0,6.5,7.25,N1
2012774,7.8,6.75,8.4,6.5,8.25,6.5,N1
2012775,7.8,6.75,2.8,7.25,8.25,6.0,N1
2012777,7.6,6.75,7.2,6.25,7.25,4.75,N1
2012778,6.6,5.75,5.4,5.25,6.75,4.25,N1
2012779,6.6,7.0,7.6,6.25,6.75,5.5,N1
2012780,8.2,6.25,9.4,8.75,7.5,6.5,N1
2012782,7.6,6.5,7.0,5.0,8.25,7.0,N1
2012783,7.8,6.25,5.4,5.75,6.25,6.5,N1
2012785,7.6,6.0,7.2,7.25,7.5,6.75,N1
2012786,7.6,4.25,9.0,7.25,4.0,5.75,N1
2012787,7.4,7.5,8.2,6.0,6.5,4.75,N1
2012788,6.6,7.0,7.0,6.25,7.5,5.5,N1
2012795,7.2,3.0,6.6,4.25,4.5,6.0,N1
2012798,8.4,6.75,8.8,6.75,6.25,5.75,N1
2012799,7.4,5.0,8.0,7.5,5.5,4.5,N1
2012800,6.2,7.0,6.4,4.5,6.0,5.75,N1
2012801,8.0,7.0,4.6,5.25,5.75,5.75,N1
2012803,8.0,6.75,6.2,5.25,5.75,7.25,N1
2012804,7.6,7.0,8.4,7.0,7.0,6.0,N1
2012805,6.6,6.75,5.6,6.25,6.0,6.75,N1
2012808,6.4,6.0,7.8,4.5,7.25,7.0,N1
2012811,6.8,7.0,7.0,5.0,6.5,6.25,N1
2012813,8.0,7.5,8.8,8.0,8.0,6.75,N1
2012814,7.8,7.0,8.2,6.75,7.0,6.25,N1
2012815,8.0,6.25,5.4,5.5,7.5,7.0,N1
2012817,7.6,7.25,8.8,5.75,7.0,6.5,N1
2012819,8.0,7.25,8.6,8.25,8.0,6.25,N1
2012820,7.4,7.25,6.8,6.0,6.75,5.5,N1
2012824,7.2,5.0,6.2,7.25,8.0,6.25,N1
2012825,8.0,6.25,7.6,8.75,8.5,5.25,N1
2012826,6.6,6.75,7.0,4.25,7.25,5.0,N1
2012828,7.2,6.5,3.8,4.25,5.5,5.75,N1
2012831,7.6,7.5,6.8,7.5,7.5,6.0,N1
2012832,7.2,5.25,5.0,5.0,5.25,4.25,N1
2012833,8.0,5.25,5.6,7.25,7.75,3.75,N1
2012834,8.2,5.5,5.0,7.0,8.0,7.75,N1
2012836,7.8,6.0,8.8,7.75,7.75,5.5,N1
2012837,7.2,5.75,5.6,7.0,7.0,6.0,N1
2012838,6.6,6.5,6.0,6.25,7.5,7.5,N1
2012844,7.2,6.5,8.0,7.5,6.5,5.75,N1
2012848,7.4,5.75,6.8,6.75,6.5,7.5,N1
2012849,7.8,6.0,8.8,6.5,6.0,4.75,N1
2012851,8.4,7.5,7.4,7.75,6.75,7.0,N1
2012853,7.4,7.25,7.0,5.75,7.0,8.25,N1
2012856,7.8,7.5,7.6,7.0,6.75,7.5,N1
2012857,6.6,8.0,6.0,6.0,5.75,7.0,N1
2012858,7.6,7.25,5.4,6.75,4.75,6.5,N1
2012859,8.2,5.5,6.6,8.0,7.25,6.75,N1
2012860,7.8,5.75,8.4,7.0,8.0,6.5,N1
2012862,7.2,5.5,6.2,6.25,7.5,8.5,N1
2012863,7.8,6.5,8.0,7.0,8.25,6.0,N1
2012864,8.2,8.0,5.6,5.5,7.25,5.75,N1
2012865,8.8,5.75,6.4,8.25,8.5,6.25,N1
2012866,7.4,6.25,8.6,7.0,7.25,7.0,N1
2012867,7.8,6.75,8.2,7.5,7.5,7.75,N1
2012868,6.4,7.25,6.8,5.75,6.5,7.0,N1
2012869,8.2,4.0,8.2,7.25,4.75,2.5,N1
2012870,7.2,6.75,7.4,6.5,6.5,7.0,N1
2012872,6.6,6.5,8.2,6.75,6.5,4.5,N1
2012874,6.8,6.0,8.4,4.75,4.75,7.25,N1
2012879,6.8,8.0,4.2,7.0,6.0,6.5,N1
2012880,7.8,6.5,8.6,7.0,7.5,6.25,N1
2012881,6.2,5.75,3.4,2.75,5.5,4.5,N1
2012882,7.0,6.25,6.4,4.75,6.0,6.75,N1
2012883,6.8,6.5,4.8,6.5,5.75,4.75,N1
2012884,7.2,7.5,6.4,6.0,6.75,6.0,N1
2012886,6.8,6.0,3.8,6.75,6.75,5.5,N1
2012887,7.4,6.5,8.8,5.25,7.75,8.0,N1
2012888,6.6,5.75,4.2,4.5,6.25,5.25,N1
2012889,7.6,8.5,7.2,5.25,7.5,8.0,N1
2012890,7.6,6.25,8.4,7.75,7.75,5.75,N1
2012891,6.6,6.25,8.4,7.25,7.0,8.25,N1
2012893,6.8,5.5,5.4,6.75,6.0,5.0,N1
2012895,6.0,5.25,4.0,3.5,5.75,5.75,N1
2012896,8.6,6.5,7.4,8.75,6.5,5.25,N1
2012898,7.8,7.5,9.2,7.25,8.5,8.5,N1
2012899,6.8,6.25,9.2,3.5,6.0,4.25,N1
2012901,7.6,6.5,8.8,6.75,6.25,6.25,N1
2012902,8.2,7.5,8.2,7.5,5.75,7.0,N1
2012903,7.4,6.25,5.0,7.0,8.0,6.5,N1
2012904,6.0,6.0,7.6,7.5,6.25,6.0,N1
2012906,8.2,6.5,5.6,7.25,8.5,7.5,N1
2012907,6.6,6.0,8.0,7.25,6.75,6.5,N1
2012908,8.4,6.0,5.8,7.0,7.5,7.0,N1
2012909,8.0,6.75,5.6,6.75,6.0,6.5,N1
2012911,5.4,5.75,5.0,5.0,6.5,6.5,N1
2012915,7.8,6.25,5.0,3.5,4.0,5.25,N1
2012918,6.4,7.75,6.2,4.75,5.75,7.25,N1
2012927,8.0,7.5,8.0,5.25,7.75,5.5,N1
2012929,7.2,7.0,7.6,5.5,8.0,6.25,N1
2012930,8.6,8.25,6.2,6.75,6.75,7.25,N1
2012934,8.0,7.0,6.2,6.5,7.75,8.0,N1
2012935,7.8,7.25,9.2,6.0,7.75,6.5,N1
2012937,7.0,6.5,6.6,4.75,6.25,6.25,N1
2012938,7.4,7.0,7.4,6.75,8.0,7.75,N1
2012939,8.0,6.25,7.0,7.25,7.5,6.5,N1
2012940,7.2,7.0,5.4,5.25,7.25,7.0,N1
2012941,6.2,5.75,5.0,5.0,7.5,6.75,N1
2012943,7.0,8.5,7.0,5.5,5.75,6.0,N1
2012949,7.4,6.25,4.6,6.0,6.75,6.0,N1
2012954,7.0,6.5,6.0,4.75,7.0,7.75,N1
2012956,8.0,7.0,5.6,5.0,6.5,7.25,N1
2012957,7.2,7.75,8.4,5.0,6.5,7.75,N1
2012958,7.0,7.5,7.6,5.5,7.5,7.5,N1
2012960,8.4,7.25,8.6,8.25,8.5,5.25,N1
2012961,7.6,6.5,4.8,8.25,8.25,8.0,N1
2012962,7.4,6.25,3.8,5.25,6.25,7.25,N1
2012963,7.8,7.5,9.0,4.5,7.25,6.5,N1
2012965,7.6,7.25,5.0,3.75,5.0,7.75,N1
2012966,6.6,6.0,6.6,7.0,8.0,5.75,N1
2012967,7.4,6.5,5.4,7.0,7.25,5.75,N1
2012969,6.6,5.25,6.4,6.5,6.0,6.5,N1
2012970,7.4,6.75,4.8,5.25,5.75,6.5,N1
2012971,7.6,6.25,6.6,5.25,6.0,6.25,N1
2012972,7.8,7.5,6.2,6.5,8.5,6.25,N1
2012973,7.4,7.25,4.8,8.0,7.5,5.75,N1
2012976,7.8,4.75,5.2,6.5,7.0,4.5,N1
2012978,7.8,6.0,6.2,7.75,7.0,5.75,N1
2012979,8.2,5.5,8.8,8.25,7.25,7.0,N1
2012980,7.6,7.5,7.0,7.25,7.75,8.25,N1
2012982,7.4,6.75,7.2,4.5,6.5,7.75,N1
2012984,7.6,7.25,6.8,6.5,7.25,6.75,N1
2012986,7.4,7.25,6.8,6.25,8.25,5.25,N1
2012990,7.0,6.25,8.2,5.25,4.5,5.25,N1
2012991,7.4,6.75,6.8,7.25,7.5,7.0,N1
2012992,7.6,6.25,7.0,5.5,4.75,6.0,N1
2012993,7.0,6.75,8.0,6.0,6.0,7.0,N1
2012994,8.0,5.5,7.6,8.0,8.0,6.0,N1
2012995,8.2,7.25,9.2,7.5,6.5,7.0,N1
2012996,6.8,6.25,7.8,6.5,7.25,5.75,N1
2012997,6.4,6.5,7.0,4.5,4.75,5.75,N1
2012998,5.4,6.75,8.2,5.0,6.0,6.5,N1
2012999,7.6,8.25,6.6,7.75,8.0,6.75,N1
2013001,5.6,7.0,6.6,3.5,4.5,4.5,N1
2013002,6.2,6.5,6.8,4.5,6.0,6.0,N1
2013003,6.0,7.0,8.0,4.5,5.25,5.75,N1
2013005,6.6,6.25,6.4,5.75,5.75,6.75,N1
2013010,7.4,7.0,5.0,6.25,7.5,6.75,N1
2013013,7.0,4.75,7.6,6.25,6.75,6.25,N1
2013014,7.8,6.5,7.0,8.0,8.0,5.5,N1
2013016,6.8,5.0,8.6,5.5,7.25,5.75,N1
2013017,6.8,5.75,5.8,5.75,7.75,7.5,N1
2013019,7.4,7.25,8.2,4.5,6.5,5.0,N1
2013025,7.2,7.5,5.2,4.75,7.0,6.25,N1
2013026,7.4,7.25,7.0,6.25,7.0,6.0,N1
2013027,7.4,7.25,6.8,7.75,7.75,7.0,N1
2013029,8.0,7.25,7.4,7.75,7.0,6.5,N1
2013030,7.8,7.25,5.6,3.75,7.25,5.25,N1
2013031,7.6,5.5,9.0,7.5,8.0,7.75,N1
2013033,7.8,4.5,8.0,7.75,7.0,6.0,N1
2013036,5.4,6.5,5.4,4.0,6.0,5.75,N1
2013038,7.4,5.75,7.2,4.0,6.5,6.75,N1
2013040,8.0,7.25,9.0,7.5,5.5,6.5,N1
2013041,7.8,6.75,9.2,6.5,7.75,5.75,N1
2013043,7.4,6.25,6.8,6.75,5.75,6.25,N1
2013044,6.4,7.0,8.4,4.5,6.0,6.0,N1
2013046,7.6,3.75,7.2,6.5,6.75,5.0,N1
2013047,7.0,7.0,6.4,6.25,6.25,6.25,N1
2013048,6.0,7.5,6.6,6.25,6.5,5.75,N1
2013050,8.4,6.25,9.2,7.5,7.5,5.75,N1
2013052,8.2,8.0,8.0,8.0,7.0,7.75,N1
2013054,7.2,6.5,6.8,6.5,6.5,8.0,N1
2013055,7.6,6.0,7.8,7.75,5.5,3.75,N1
2013056,7.6,6.75,8.2,8.0,7.0,5.75,N1
2013059,7.4,6.5,9.4,5.25,8.0,6.5,N1
2013061,8.0,6.5,6.4,8.75,8.25,8.25,N1
2013062,7.4,7.0,6.2,6.0,6.5,6.25,N1
2013063,8.4,5.75,7.6,7.0,7.25,6.25,N1
2013064,6.6,6.75,7.4,6.0,7.0,7.25,N1
2013065,5.4,6.5,6.0,4.5,5.25,5.5,N1
2013066,7.0,7.25,8.2,6.75,8.5,6.0,N1
2013067,7.2,7.0,5.8,6.0,4.5,5.5,N1
2013068,6.2,5.25,8.4,6.25,5.5,7.0,N1
2013069,7.4,6.0,6.4,7.5,6.75,7.25,N1
2013070,7.6,5.0,8.4,6.5,8.5,8.5,N1
2013071,6.4,7.0,5.0,4.75,6.25,6.5,N1
2013072,7.8,6.25,7.8,7.5,8.25,6.25,N1
2013073,5.4,5.25,8.6,4.5,6.25,5.25,N1
2013074,8.0,6.5,6.2,6.25,7.75,8.75,N1
2013075,7.6,8.5,9.4,6.75,6.0,7.25,N1
2013076,8.0,7.75,4.2,7.25,6.5,5.75,N1
2013077,8.0,8.25,9.4,7.0,7.5,6.75,N1
2013078,7.4,9.0,5.4,7.25,8.0,6.0,N1
2013092,7.2,5.0,6.8,6.25,5.5,6.0,N1
2013093,7.0,8.5,7.6,7.25,6.75,8.0,N1
2013094,6.6,7.75,6.0,5.0,7.25,6.5,N1
2013095,6.6,6.5,6.0,4.75,7.0,7.75,N1
2013096,7.0,8.25,6.6,7.75,8.0,7.75,N1
2013097,6.4,6.75,7.0,4.25,7.75,5.0,N1
2013098,7.8,6.75,9.0,6.5,7.0,5.25,N1
2013099,7.0,7.25,6.6,7.0,7.25,6.75,N1
2013100,8.0,7.25,6.4,7.25,7.25,6.75,N1
2013101,8.4,5.75,6.4,6.5,7.25,6.25,N1
2013102,8.6,6.75,8.6,6.5,7.5,6.75,N1
2013103,6.8,5.75,8.0,6.25,6.0,6.25,N1
2013104,8.0,5.25,8.4,7.0,6.75,7.5,N1
2013105,6.8,6.25,5.0,6.5,6.75,5.75,N1
2013106,6.2,7.0,6.0,6.75,7.0,6.0,N1
2013107,5.8,4.5,4.6,4.75,6.5,6.25,N1
2013108,7.0,6.5,6.4,6.0,6.75,6.75,N1
2013109,6.4,6.5,8.4,8.0,7.0,7.25,N1
2013110,7.4,6.0,5.8,5.75,6.5,7.0,N1
2013111,7.0,5.25,3.2,4.5,5.0,5.5,N1
2013112,6.0,7.0,4.6,3.25,5.5,5.25,N1
2013113,7.6,7.0,8.0,8.0,5.5,7.5,N1
2013114,7.2,7.25,7.8,7.75,7.0,7.5,N1
2013115,7.2,5.75,3.2,5.75,8.5,6.25,N1
2013117,7.6,7.25,4.6,5.5,7.25,6.75,N1
2013124,7.2,7.5,9.0,4.75,5.25,7.0,N1
2013125,8.2,7.5,6.8,8.0,7.0,7.75,N1
2013130,8.2,6.0,4.8,7.75,8.0,6.0,N1
2013131,8.0,6.75,6.2,7.25,7.0,7.25,N1
2013132,6.8,6.0,5.8,5.0,7.75,7.0,N1
2013135,7.2,6.0,6.8,5.0,6.75,6.0,N1
2013137,7.6,5.75,4.6,6.5,6.5,7.0,N1
2013139,7.2,7.5,5.8,7.25,7.0,6.0,N1
2013141,4.4,6.5,3.4,2.75,5.25,4.25,N1
2013142,3.8,7.0,5.8,4.5,5.0,5.25,N1
2013143,7.8,7.25,6.2,6.5,7.0,6.75,N1
2013144,8.2,7.0,8.0,8.0,8.5,7.25,N1
2013146,7.0,6.75,4.6,6.25,5.75,5.25,N1
2013147,7.0,6.5,7.4,4.75,7.0,8.25,N1
2013149,7.2,7.5,7.4,6.25,6.5,6.5,N1
2013151,7.2,7.0,7.2,7.0,6.75,7.75,N1
2013152,8.6,7.25,7.4,7.5,6.5,6.75,N1
2013154,7.6,7.25,4.4,7.0,7.75,5.25,N1
2013155,7.0,6.0,5.6,3.5,7.75,7.25,N1
2013156,8.2,7.75,5.8,4.75,7.75,6.5,N1
2013159,7.6,7.75,7.8,6.75,7.25,6.25,N1
2013164,7.2,7.25,7.6,7.5,7.75,5.75,N1
2013169,6.8,7.5,7.2,5.5,7.0,5.5,N1
2013173,6.4,6.75,5.6,5.75,7.25,4.75,N1
2013174,7.8,5.75,7.4,6.75,7.25,6.75,N1
2013175,8.2,5.5,8.4,4.75,7.25,5.75,N1
2013176,7.2,7.0,7.6,8.0,7.5,7.5,N1
2013177,7.6,7.25,8.4,7.75,6.75,7.75,N1
2013178,7.0,8.75,5.8,5.5,6.75,5.75,N1
2013179,7.2,6.0,8.2,5.0,5.75,5.25,N1
2013180,8.0,5.0,6.8,8.5,8.75,4.5,N1
2013181,8.6,6.5,7.0,6.0,7.25,5.5,N1
2013182,7.4,7.5,7.8,6.75,7.5,6.0,N1
2013183,7.0,7.5,5.0,6.0,6.75,5.25,N1
2013184,8.2,7.5,7.8,8.25,7.75,7.0,N1
2013185,7.4,7.5,8.6,6.5,7.0,7.5,N1
2013186,8.0,7.75,9.2,8.25,6.75,6.0,N1
2013189,5.6,7.0,4.6,5.0,5.5,5.75,N1
2013191,7.2,7.75,8.6,6.0,7.25,7.0,N1
2013194,8.4,8.0,8.4,7.75,7.0,6.75,N1
2013197,6.0,7.25,6.8,5.5,6.25,5.25,N1
2013198,6.0,4.75,7.2,5.75,5.5,7.0,N1
2013200,6.0,7.75,6.0,5.75,7.75,5.75,N1
2013201,7.2,5.5,5.4,2.5,6.5,6.5,N1
2013202,7.8,5.75,8.4,7.0,7.5,6.0,N1
2013203,6.0,6.0,6.8,3.5,4.0,5.25,N1
2013204,8.0,7.25,8.0,8.25,7.5,6.75,N1
2013205,8.0,6.5,7.4,5.25,6.0,6.75,N1
2013206,6.8,5.5,5.8,3.75,6.0,9.0,N1
2013208,6.8,5.5,5.0,4.75,6.0,6.25,N1
2013210,7.8,8.0,5.8,7.75,8.0,6.0,N1
2013212,8.0,5.75,8.2,6.5,7.75,6.5,N1
2013214,7.4,6.75,8.6,6.0,6.0,6.75,N1
2013215,7.6,7.0,7.2,4.5,8.25,5.25,N1
2013216,7.4,6.25,8.4,8.5,7.25,6.25,N1
2013217,7.8,7.25,7.2,6.0,6.75,6.75,N1
2013218,7.8,4.0,8.2,6.75,7.25,5.25,N1
2013219,8.2,8.25,9.4,7.75,8.25,7.5,N1
2013220,6.0,6.75,5.0,5.75,6.5,6.0,N1
2013222,8.4,6.25,7.0,7.0,8.25,5.5,N1
2013224,6.8,7.5,4.4,7.75,7.75,6.0,N1
2013229,6.4,6.5,4.4,3.0,6.5,7.5,N1
2013231,6.2,7.5,6.6,5.25,5.75,6.0,N1
2013232,8.8,7.75,7.0,8.5,8.0,8.0,N1
2013233,7.8,7.75,6.4,6.75,7.0,7.5,N1
2013234,7.8,6.75,7.6,6.5,5.25,7.5,N1
2013240,6.4,7.25,5.8,5.5,6.5,4.75,N1
2013245,8.8,6.75,7.0,9.25,8.75,8.75,N1
2013246,7.6,8.5,8.4,8.75,7.0,6.25,N1
2013247,6.8,7.0,5.8,4.5,6.5,6.5,N1
2013248,6.0,7.25,5.0,4.75,6.0,5.25,N1
2013249,7.0,6.75,7.2,6.25,6.75,6.75,N1
2013252,7.4,5.75,8.4,6.75,7.75,5.75,N1
2013255,8.4,7.0,8.8,7.5,8.0,6.75,N1
2013257,7.6,3.5,2.6,7.25,6.25,6.5,N1
2013258,6.4,6.75,5.2,7.0,6.0,6.75,N1
2013259,6.4,6.75,3.0,5.75,6.75,7.25,N1
2013260,8.2,5.75,7.4,5.25,8.25,6.5,N1
2013262,8.0,7.0,7.8,5.0,7.5,6.25,N1
2013265,6.0,7.5,7.0,6.5,5.5,6.25,N1
2013275,7.0,8.5,7.0,6.0,7.25,6.0,N1
2013276,8.0,7.0,6.6,8.0,9.0,7.5,N1
2013279,7.0,6.75,6.6,6.0,7.0,6.75,N1
2013285,7.6,7.0,8.8,8.25,6.75,6.5,N1
2013286,7.8,6.5,8.2,7.25,7.25,7.0,N1
2013287,8.4,7.0,7.8,6.75,7.5,6.0,N1
2013288,7.2,7.25,5.4,6.0,7.0,8.0,N1
2013296,6.6,6.5,4.8,3.5,6.5,6.0,N1
2013297,7.8,8.0,8.0,8.0,7.75,7.5,N1
2013298,7.0,7.0,7.6,7.25,7.25,6.5,N1
2013305,5.6,6.75,4.0,4.75,3.75,4.75,N1
2013309,5.8,6.75,6.8,4.25,6.25,7.0,N1
2013310,7.2,7.0,7.8,6.5,6.75,6.5,N1
2013316,7.6,6.25,4.4,8.25,6.5,6.25,N1
2013318,5.8,6.25,4.6,5.5,5.75,5.25,N1
2013343,8.6,7.0,5.2,6.25,5.25,6.25,N1
2013345,8.8,8.0,8.6,8.75,7.25,8.0,N1
2013346,6.6,7.0,7.4,5.75,6.75,6.25,N1
2013347,6.2,6.25,7.0,6.5,6.5,6.0,N1
2013349,6.8,6.5,4.4,5.25,6.0,5.75,N1
2013350,6.6,6.25,8.2,9.0,6.25,6.0,N1
2013351,7.0,7.5,5.8,6.5,7.25,6.75,N1
2013352,7.4,5.5,4.0,6.0,5.0,5.25,N1
2013353,7.4,7.0,7.4,5.75,7.5,7.0,N1
2013355,8.0,6.5,7.6,6.75,5.75,4.75,N1
2013356,8.0,6.0,8.0,8.0,5.0,4.75,N1
2013359,8.2,7.0,5.4,7.0,7.0,7.0,N1
2013360,7.6,6.5,6.8,8.0,6.0,8.25,N1
2013362,6.8,7.0,4.6,4.75,6.75,6.75,N1
2013363,7.8,7.0,8.8,8.0,7.25,7.5,N1
2013364,8.2,5.75,7.2,7.75,8.0,4.75,N1
2013366,7.4,7.25,6.4,4.5,5.5,7.5,N1
2013367,7.0,7.75,4.6,6.25,6.0,6.5,N1
2013368,8.2,6.75,7.0,8.0,7.75,6.75,N1
2013369,7.0,7.25,7.0,4.25,7.5,7.25,N1
2013370,8.4,7.25,8.2,6.75,7.0,7.0,N1
2013375,7.6,8.75,9.0,6.75,7.25,6.25,N1
2013376,6.6,7.25,5.8,6.5,6.0,6.25,N1
2013379,6.6,6.75,5.6,6.0,6.75,5.75,N1
2013380,5.8,6.75,7.2,3.5,4.5,4.75,N1
2013384,6.2,7.5,6.6,7.75,6.5,6.75,N1
2013386,7.6,6.25,9.6,7.0,6.75,7.25,N1
2013387,7.6,6.0,5.8,6.5,6.25,7.5,N1
2013388,6.8,4.75,8.6,5.25,8.25,5.0,N1
2013391,6.8,6.5,8.0,7.5,7.75,7.25,N1
2013392,7.0,7.25,3.6,6.25,2.5,5.0,N1
2013397,8.0,7.5,7.6,7.75,7.25,7.0,N1
2013398,7.4,7.25,7.2,5.5,7.25,8.0,N1
2013401,8.0,7.25,7.8,8.5,7.25,7.5,N1
2013402,6.8,5.0,8.0,5.0,7.0,7.5,N1
2013403,7.4,6.25,7.0,6.5,6.25,6.0,N1
2013405,7.4,7.0,8.8,8.0,5.5,7.0,N1
2013406,8.0,7.25,8.6,5.75,7.25,5.25,N1
2013407,8.2,6.0,5.6,5.25,7.5,8.0,N1
2013410,8.2,6.25,8.2,7.75,8.5,6.5,N1
2013411,8.2,6.25,7.6,8.25,8.5,6.5,N1
2013412,7.8,5.75,6.8,6.25,7.0,7.75,N1
2013418,8.2,6.75,5.6,8.25,8.0,7.0,N1
2013419,8.4,7.75,7.8,7.25,7.75,7.5,N1
2013420,7.0,6.25,4.6,6.75,6.25,6.25,N1
2013427,7.6,7.25,6.6,5.5,7.75,4.75,N1
2013428,6.2,6.5,4.8,3.5,5.25,6.0,N1
2013434,6.8,6.25,5.6,6.5,7.25,7.25,N1
2013438,6.6,6.5,9.0,6.0,6.75,7.0,N1
2013439,5.8,6.5,6.0,6.25,6.0,5.25,N1
2013442,6.4,6.75,7.6,6.5,6.25,6.5,N1
2013443,7.0,6.5,7.6,7.5,7.25,6.5,N1
2013445,7.2,7.5,7.6,5.25,6.5,5.5,N1
2013446,7.4,7.5,7.0,8.0,7.5,8.0,N1
2013448,8.0,6.5,8.4,7.0,7.25,5.5,N1
2013451,8.4,8.0,6.6,8.0,7.25,7.5,N1
2013456,6.6,7.5,7.0,8.0,7.0,7.25,N1
2013457,8.6,7.25,8.0,6.25,7.0,7.25,N1
2013458,7.2,6.0,4.6,5.25,6.75,6.25,N1
2013461,7.6,7.5,6.8,7.75,8.0,7.0,N1
2013463,7.0,5.75,4.4,4.0,6.25,6.25,N1
2013466,6.4,5.0,5.2,6.0,6.0,5.75,N1
2013467,6.4,6.25,5.0,6.25,7.25,6.25,N1
2013468,7.8,6.5,9.4,6.75,7.75,7.75,N1
2013471,7.0,5.5,9.2,7.0,4.75,4.75,N1
2013472,8.2,6.0,3.8,7.25,7.0,7.75,N1
2013473,7.8,4.75,6.4,7.75,8.25,6.5,N1
2013476,7.2,7.0,7.2,5.5,6.75,6.0,N1
2013480,7.2,6.75,4.8,7.25,7.5,6.5,N1
2013481,7.4,4.5,5.4,3.5,8.0,8.0,N1
2013482,7.0,7.5,6.2,6.75,8.25,6.25,N1
2013483,8.0,6.5,8.2,6.75,7.75,7.5,N1
2013484,7.4,7.5,6.0,5.5,5.75,5.75,N1
2013485,6.4,7.0,5.8,6.5,6.5,5.0,N1
2013486,7.2,5.75,4.2,3.5,6.5,5.75,N1
2013487,7.8,6.75,6.8,7.75,7.5,7.75,N1
2013490,7.4,6.75,5.8,6.25,7.5,6.75,N1
2013495,8.4,6.5,7.4,7.25,8.5,7.75,N1
2013499,6.8,5.75,3.8,6.25,7.5,6.75,N1
2013500,7.6,7.0,6.2,6.5,6.0,8.25,N1
2013503,7.6,5.75,6.6,3.25,7.75,5.0,N1
2013506,7.2,7.5,7.6,5.0,6.75,5.5,N1
2013512,7.6,8.0,8.6,7.25,7.25,8.0,N1
2013514,7.6,8.5,7.4,8.0,7.5,5.75,N1
2013516,6.4,7.0,5.0,4.75,4.75,5.0,N1
2013517,7.8,6.75,5.8,7.0,7.0,7.0,N1
2013518,6.6,6.75,7.2,6.5,6.75,7.0,N1
2013526,7.4,7.0,6.2,5.75,8.0,7.75,N1
2013528,8.2,8.25,7.6,5.75,6.75,7.0,N1
2013529,7.6,7.0,6.2,5.75,5.0,5.5,N1
2013533,6.8,7.5,5.2,6.0,7.0,5.25,N1
2013535,7.6,8.25,6.2,5.25,7.25,7.0,N1
2013536,6.8,7.25,6.4,6.5,6.5,6.0,N1
2013538,7.6,7.75,7.2,7.25,7.0,6.25,N1
2013544,8.2,7.25,9.2,8.25,7.25,7.25,N1
2013545,7.4,5.0,5.6,5.0,6.25,7.25,N1
2013546,7.6,5.5,6.2,4.25,7.0,5.5,N1
2013549,7.2,7.25,7.6,7.5,7.0,4.75,N1
2013550,7.6,6.75,8.0,5.25,6.5,6.5,N1
2013551,8.4,6.75,8.4,8.0,7.0,6.0,N1
2013552,7.8,7.0,8.6,8.0,7.0,7.0,N1
2013553,6.0,7.25,7.0,6.0,5.75,5.75,N1
2013555,7.8,3.5,8.4,7.0,5.0,6.5,N1
2013556,7.0,5.5,4.4,6.25,8.25,4.5,N1
2013557,7.4,7.25,7.4,7.5,8.75,6.25,N1
2013559,7.2,6.25,6.4,7.25,6.75,6.75,N1
2013560,7.6,6.75,7.6,6.25,8.25,7.75,N1
2013561,8.0,7.5,9.0,8.25,6.75,7.25,N1
2013563,8.4,6.75,7.0,8.0,8.5,6.0,N1
2013564,5.6,4.75,5.0,6.25,6.25,6.75,N1
2013565,7.4,6.0,8.0,6.5,6.5,7.25,N1
2013566,6.8,6.75,6.8,7.5,7.5,8.0,N1
2013567,7.2,6.75,5.8,5.75,7.75,7.0,N1
2013568,7.6,6.25,5.8,5.0,7.25,6.75,N1
