sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,ma_ngoai_ngu
1000559,9.0,6.25,8.8,9.25,9.25,6.5,N1
1000560,7.4,6.0,8.8,6.0,4.5,6.0,N1
1000561,8.2,7.75,8.6,8.75,8.75,6.0,N1
1000562,8.0,6.5,9.6,9.0,7.75,8.25,N1
1000563,8.2,7.25,8.2,8.5,8.5,6.75,N1
1000564,7.8,9.25,7.4,7.5,6.25,5.25,N1
1000600,7.6,7.0,9.2,7.25,4.5,5.25,N1
1000601,8.4,5.5,9.2,7.75,7.25,7.5,N1
1000602,8.8,5.0,9.2,4.0,9.5,9.25,N1
1000604,7.6,7.25,9.2,6.75,6.5,5.75,N1
1000609,7.8,8.0,7.6,5.0,6.5,5.0,N1
1000610,7.0,7.75,7.6,6.25,5.0,4.75,N1
1000611,6.2,4.75,8.1,6.0,5.0,6.75,N1
1000613,7.6,7.5,8.6,7.5,3.25,4.5,N1
1000620,8.8,5.5,9.4,7.75,6.0,5.75,N1
1000626,8.2,7.5,9.0,8.0,7.25,8.25,N1
1000638,6.4,4.5,8.6,5.5,8.0,6.0,N1
1000661,7.8,9.0,8.8,8.5,5.75,8.25,N1
1000663,8.4,7.0,8.8,8.5,4.25,5.25,N1
1000664,7.8,6.75,8.6,3.75,8.5,5.25,N1
1000680,8.6,8.5,8.4,8.75,5.25,7.25,N1
1000684,8.8,8.25,7.6,6.5,8.25,8.0,N1
1000685,8.2,7.5,7.6,6.25,5.5,6.25,N1
1000695,8.8,8.5,8.6,8.0,5.75,6.75,N1
1000704,7.8,7.5,8.8,3.75,7.5,6.5,N1
1000706,8.0,8.5,9.0,7.25,7.0,5.25,N1
1000711,7.4,7.25,8.0,5.5,7.5,5.5,N1
1000719,7.0,7.5,8.6,7.0,8.0,2.5,N1
1000721,6.4,7.75,9.2,7.5,8.5,6.25,N1
1000726,8.6,7.75,8.6,7.5,6.0,7.5,N1
1000729,7.4,5.5,9.0,7.25,8.5,5.25,N1
1000741,7.8,7.25,9.4,7.0,7.0,7.25,N1
1000745,8.0,8.5,8.2,5.0,7.75,7.0,N1
1000746,7.8,7.25,9.2,8.5,8.75,7.75,N1
1000747,7.2,6.75,6.6,5.75,8.0,6.0,N1
1000748,6.0,6.0,3.8,6.0,5.25,5.75,N1
1000750,8.2,7.0,8.0,8.5,4.0,4.75,N1
1000751,7.6,6.75,4.4,6.5,6.0,5.0,N1
1000754,8.0,6.75,9.4,8.5,7.0,5.0,N1
1000756,8.0,8.0,8.6,4.5,4.25,4.0,N1
1000764,6.2,7.75,7.8,5.75,2.5,5.0,N1
1000767,8.0,6.5,8.2,8.5,4.25,5.0,N1
1000769,7.8,5.75,7.8,8.5,6.25,6.0,N1
1000770,8.2,4.5,7.8,8.5,8.5,5.75,N1
1000772,7.8,4.75,7.8,7.75,4.0,6.5,N1
1000773,8.2,5.0,7.8,7.25,5.5,4.5,N1
1000775,6.6,6.75,7.6,6.25,4.75,6.0,N1
1000778,7.8,7.25,7.4,8.25,7.75,6.5,N1
1000781,8.0,6.25,9.8,8.25,5.75,7.5,N1
1000784,6.4,7.25,8.2,6.0,3.75,6.0,N1
1000787,8.2,6.75,8.4,4.75,7.25,8.0,N1
1000789,8.0,7.75,8.8,7.75,5.0,6.0,N1
1000790,8.0,8.5,9.0,6.5,6.0,5.25,N1
1000798,7.4,6.0,9.2,7.5,5.25,6.0,N1
1000800,8.0,9.0,9.0,7.0,5.75,6.75,N1
1000803,8.6,7.5,9.4,8.75,6.75,6.75,N1
1000807,8.2,7.5,8.6,6.25,4.0,5.75,N1
1000808,8.2,8.5,9.0,9.0,8.75,7.5,N1
1000810,8.0,6.5,9.2,8.75,7.0,6.75,N1
1000815,7.4,5.75,9.0,5.5,7.75,7.0,N1
1000818,8.0,7.5,7.0,4.25,7.0,4.25,N1
1000820,8.6,7.0,9.6,8.75,8.75,7.0,N1
